Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6792131,AIR_9,UNREGION,419,,YEAR,,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_AGE70-74,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,,8.75 [2.15-19.99],8.74586,2.15063,19.98971,,2022-09-12T16:32:42+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6797928,AIR_9,UNREGION,35,,YEAR,,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_AGEAll,ENVCAUSE,ENVCAUSE_ENVCAUSE113,,,538.12 [339.21-695.54],538.12111,339.21333,695.54184,,2022-09-12T16:33:10+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6811832,AIR_9,WORLDBANKINCOMEGROUP,WB_HI,,YEAR,,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_AGE25-29,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,,0.72 [0.48-1.01],0.71903,0.48138,1.00922,,2022-09-12T14:48:57+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6817620,AIR_9,COUNTRY,SEN,AFR,YEAR,Africa,SEX,2019,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE000,,,,,987 [680-1 279],986.82619,679.95267,1278.5732,,2022-08-26T09:26:26+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6818125,AIR_9,UNSDGREGION,UNSDG_EUROPENORTHERNAMR,,YEAR,,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_AGE75-79,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,,5.00 [1.91-9.19],5.00379,1.90725,9.18609,,2022-09-12T15:58:51+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6823690,AIR_9,GLOBAL,GLOBAL,,YEAR,,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_AGEAll,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,,307.77 [161.07-459.40],307.76552,161.06922,459.40381,,2022-09-12T17:38:23+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6824247,AIR_9,UNREGION,34,,YEAR,,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_AGEAll,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,,252.98 [137.42-387.02],252.97973,137.42023,387.02164,,2022-09-12T16:33:14+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6830731,AIR_9,WORLDBANKINCOMEGROUP,WB_LIMI,,YEAR,,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_AGE25-29,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,,0.24 [0.15-0.35],0.23849,0.14644,0.34766,,2022-09-12T14:49:03+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6837103,AIR_9,GLOBAL,GLOBAL,,YEAR,,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_AGE70-74,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,,21.35 [8.34-40.42],21.35109,8.34077,40.41957,,2022-09-12T17:38:22+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6842801,AIR_9,UNREGION,15,,YEAR,,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_AGE55-59,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,,20.71 [11.08-31.10],20.71456,11.0829,31.10112,,2022-09-12T16:32:43+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
