,SpatialDim,ParentLocationCode,TimeDim,Dim2,AirPollDALYs,Low,High
9022,ISR,EUR,2014,GHECAUSE_GHE000000,318.35,246.986,396.128
9023,SVN,EUR,2012,GHECAUSE_GHE001130,256.03,160.259,331.855
9029,MLT,EUR,2011,GHECAUSE_GHE000680,38.409,19.855,62.978
9030,MEX,AMR,2015,GHECAUSE_GHE000680,31.962,20.431,45.705
9032,ZAF,AFR,2016,GHECAUSE_GHE001140,451.433,242.612,667.716
9039,PHL,WPR,2018,GHECAUSE_GHE000000,4071.839,3278.675,4867.542
9041,IRQ,EMR,2010,GHECAUSE_GHE000390,421.462,291.104,563.633
9050,HND,AMR,2016,GHECAUSE_GHE001140,616.688,354.445,936.886
9051,BGD,SEAR,2013,GHECAUSE_GHE000390,856.322,710.74,966.957
9052,BIH,EUR,2018,GHECAUSE_GHE001180,178.627,86.077,288.999
9054,QAT,EMR,2014,GHECAUSE_GHE001180,99.08,42.981,170.329
9057,GRD,AMR,2011,GHECAUSE_GHE000000,930.168,578.772,1389.078
9058,SUR,AMR,2017,GHECAUSE_GHE001130,522.686,300.106,737.156
9060,MNG,WPR,2016,GHECAUSE_GHE001140,1912.173,1131.259,2870.81
9064,NIC,AMR,2013,GHECAUSE_GHE000000,2015.344,1654.449,2346.508
9065,CAN,AMR,2011,GHECAUSE_GHE001140,29.014,9.947,56.586
9068,BTN,SEAR,2011,GHECAUSE_GHE001130,883.531,599.008,1148.195
9070,UZB,EUR,2017,GHECAUSE_GHE001130,2350.144,1526.423,3307.85
9078,NLD,EUR,2011,GHECAUSE_GHE000000,416.21,307.611,542.117
9079,SLV,AMR,2015,GHECAUSE_GHE001130,602.02,400.956,781.207
9080,TUR,EUR,2017,GHECAUSE_GHE001130,443.735,287.461,582.912
9081,RUS,EUR,2012,GHECAUSE_GHE000390,142.021,51.898,263.033
9083,OMN,EMR,2019,GHECAUSE_GHE000000,1960.881,1366.667,2485.971
9087,NAM,AFR,2010,GHECAUSE_GHE001180,546.623,319.513,849.346
9089,COD,AFR,2011,GHECAUSE_GHE001130,1323.491,1024.045,1608.198
9090,EMR,,2011,GHECAUSE_GHE000680,64.228,44.072,87.534
9092,NLD,EUR,2018,GHECAUSE_GHE000390,19.468,7.508,34.575
9094,FIN,EUR,2019,GHECAUSE_GHE000680,4.942,1.923,10.05
9096,SVN,EUR,2018,GHECAUSE_GHE001180,29.188,8.407,62.015
9099,MLT,EUR,2018,GHECAUSE_GHE001180,29.6,7.315,67.108
9100,EUR,,2019,GHECAUSE_GHE000000,956.065,599.631,1399.781
9105,SWZ,AFR,2016,GHECAUSE_GHE000390,2462.27,1855.414,3052.577
9113,MWI,AFR,2011,GHECAUSE_GHE000680,27.544,22.851,32.097
9115,PER,AMR,2010,GHECAUSE_GHE000000,1393.105,1120.059,1678.175
9118,KHM,WPR,2017,GHECAUSE_GHE001130,1010.116,757.721,1225.454
9119,BEL,EUR,2013,GHECAUSE_GHE000390,38.141,16.707,62.003
9126,LBR,AFR,2015,GHECAUSE_GHE000390,2298.354,1938.141,2607.625
9129,IRL,EUR,2019,GHECAUSE_GHE000000,232.614,152.97,320.18
9132,MEX,AMR,2010,GHECAUSE_GHE001140,154.496,84.53,232.81
9134,CIV,AFR,2016,GHECAUSE_GHE000680,37.608,29.658,44.356
9135,POL,EUR,2012,GHECAUSE_GHE000390,80.898,48.662,113.879
9136,DOM,AMR,2012,GHECAUSE_GHE001180,42.623,15.206,92.561
9142,GIN,AFR,2014,GHECAUSE_GHE001140,1417.204,943.761,1942.196
9143,RWA,AFR,2015,GHECAUSE_GHE000680,61.377,51.519,70.836
9147,CAN,AMR,2010,GHECAUSE_GHE000390,9.708,2.664,20.733
9149,HRV,EUR,2019,GHECAUSE_GHE000390,23.957,11.267,38.534
9152,NGA,AFR,2015,GHECAUSE_GHE001180,341.229,230.684,467.084
9154,BTN,SEAR,2012,GHECAUSE_GHE000390,641.297,447.785,827.968
9156,SLB,WPR,2013,GHECAUSE_GHE001130,3159.161,2315.922,3945.614
9159,SLE,AFR,2015,GHECAUSE_GHE001180,464.945,318.075,631.586
9162,AZE,EUR,2011,GHECAUSE_GHE000680,66.02,34.132,105.183
9163,GEO,EUR,2014,GHECAUSE_GHE000680,110.937,62.952,167.838
9167,VEN,AMR,2010,GHECAUSE_GHE001140,162.533,77.176,258.955
9168,RUS,EUR,2016,GHECAUSE_GHE000390,146.351,43.417,299.915
9169,SVN,EUR,2013,GHECAUSE_GHE000000,452.175,345.594,553.916
9177,RWA,AFR,2010,GHECAUSE_GHE000000,5244.455,4509.954,6001.053
9178,TZA,AFR,2019,GHECAUSE_GHE000000,3389.771,2947.017,3806.758
9181,UGA,AFR,2017,GHECAUSE_GHE000680,50.158,42.555,56.912
9186,CHE,EUR,2018,GHECAUSE_GHE000000,202.027,139.298,270.77
9188,MDA,EUR,2016,GHECAUSE_GHE001130,990.782,594.373,1432.81
9189,AUS,WPR,2015,GHECAUSE_GHE001180,21.22,2.882,59.695
9191,BDI,AFR,2013,GHECAUSE_GHE001140,1383.07,896.002,1920.095
9193,OMN,EMR,2018,GHECAUSE_GHE000000,2055.476,1433.628,2614.022
9196,MLT,EUR,2015,GHECAUSE_GHE000390,29.564,13.006,48.676
9199,GTM,AMR,2015,GHECAUSE_GHE001130,780.9,580.986,954.769
9206,LAO,WPR,2015,GHECAUSE_GHE001180,556.799,328.625,820.723
9207,SVK,EUR,2017,GHECAUSE_GHE001180,41.846,12.521,88.585
9208,UKR,EUR,2014,GHECAUSE_GHE000680,64.639,30.153,118.733
9209,STP,AFR,2016,GHECAUSE_GHE001180,797.539,533.849,1082.773
9214,CPV,AFR,2010,GHECAUSE_GHE000000,2044.916,1585.773,2562.729
9217,GHA,AFR,2012,GHECAUSE_GHE001180,461.217,298.07,653.141
9224,HUN,EUR,2015,GHECAUSE_GHE001130,602.405,373.451,788.894
9228,NPL,SEAR,2011,GHECAUSE_GHE000680,190.38,154.377,222.937
9232,NOR,EUR,2013,GHECAUSE_GHE000000,212.667,134.815,300.212
9235,PNG,WPR,2019,GHECAUSE_GHE001130,1658.808,1205.684,2091.702
9238,BEN,AFR,2010,GHECAUSE_GHE001130,1318.823,1056.891,1538.682
9239,JAM,AMR,2014,GHECAUSE_GHE001130,262.817,161.051,364.606
9241,ZWE,AFR,2011,GHECAUSE_GHE001180,352.151,224.564,537.058
9245,UZB,EUR,2010,GHECAUSE_GHE001180,97.069,41.096,174.477
9247,TZA,AFR,2018,GHECAUSE_GHE001130,727.777,577.318,855.527
9249,PRT,EUR,2011,GHECAUSE_GHE000000,312.943,224.779,411.237
9255,SLB,WPR,2018,GHECAUSE_GHE000390,1492.328,1181.153,1767.996
9260,ECU,AMR,2011,GHECAUSE_GHE000680,23.758,11.74,41.364
9263,CHN,WPR,2019,GHECAUSE_GHE000680,235.58,149.323,338.738
